Cod_IBGE;Mortalidade_infantil;IDHM_Educacao;Densidade_demográfica;Renda_per_capita;Grau_de_Urbanizacao;Indice_de_Gini;Esgoto_Sanitario;Estab_por_mil_Hab;Doses_Aplicadas_mil_Hab;Razao_Medico_mil_Hab;den_binned
3500105;11,63;0,75;85,12;778,44;96,38;0,515;99,03;4,130524577;395,9107807;4,278043312;2
3500204;19,23;0,648;16,88;588,02;92,52;0,411;95,93;1,450536699;946,6202495;1,450536699;2
3500303;16,06;0,606;76,5;540,88;92,21;0,48;98,87;1,79734891;456,5547068;1,825432487;2
3500402;25,32;0,716;57,33;726,28;92,19;0,531;87,99;0,513017827;391,1760934;2,308580223;2
3500501;8,37;0,675;311,1;680,22;99,1;0,461;90,33;2,231413955;446,065092;2,503537607;3
3500550;23,26;0,695;15,02;703,8;77,74;0,495;75,56;1,854661946;693,8121733;2,697690103;2
3500600;38,46;0,825;955,43;1353,66;100;0,544;97,47;1,921844971;579,4362588;2,562459962;3
3500709;12,13;0,694;38,5;584,66;96,35;0,431;96,91;1,273039243;557,6465379;3,154923341;2
3500758;25;0,658;37,75;510,33;81,83;0,445;70,55;1,384322547;458,7298841;1,384322547;2
3500808;20,83;0,71;35,03;574,27;90,5;0,364;97,35;0,76394194;648,5867074;1,018589254;2
3500907;20,41;0,581;13,29;517,99;84,56;0,424;86,12;2,229930624;456,1446977;2,973240833;2
3501004;16,39;0,635;17,42;635,36;91,76;0,447;98,88;2,957628753;466,0837138;1,800295763;2
3501103;33,33;0,616;12,87;517,16;84,94;0,364;96,17;1,991535972;292,0089619;1,742593976;2
3501152;20,33;0,732;222,66;653,51;83,87;0,429;91,71;0,667705319;483,9750723;1,613621189;3
3501202;26,32;0,683;10,15;463,88;73,54;0,417;98,98;1,104667219;475,283071;0,55233361;1
3501301;18,13;0,732;71,67;558,09;91,3;0,466;93,06;0,924797175;605,3638236;1,639413174;2
3501400;17,54;0,605;34,02;331,26;67,41;0,387;99,23;0,594766059;318,3980967;0,793021412;2
3501509;21,74;0,659;37,96;500,44;92,22;0,533;95,62;0,944584383;676,0075567;1,259445844;2
3501608;7,47;0,76;1789,21;996,71;99,53;0,469;98,37;3,99643619;534,2374217;2,882745505;4
3501707;16;0,701;329,88;565,83;99,24;0,397;99,51;0,770320304;556,6930895;4,19948811;3
3501806;19,61;0,708;23,6;591,29;87,6;0,437;98,98;1,394700139;579,3235704;1,569037657;2
3501905;5,65;0,711;162,12;816,69;84,18;0,498;89,47;4,092534356;419,6499088;4,465888367;3
3502002;21,28;0,668;15,32;685,94;83,81;0,533;93,28;1,030927835;330,5154639;2,680412371;2
3502101;13,35;0,702;59,28;710;94,29;0,52;90,29;3,924786813;473,810968;3,532308131;2
3502200;6,31;0,648;24,56;524,82;74,83;0,45;96,96;1,428513122;394,2696216;0,938737194;2
3502309;14,08;0,637;9,13;401,87;78,78;0,424;97,97;1,498800959;433,9028777;1,648681055;1
3502408;33,33;0,706;12,83;475,43;87,74;0,423;99,47;1,514004542;496,3411557;0,757002271;2
3502507;6,25;0,706;298,63;639,68;98,55;0,486;97,01;1,148169929;462,6564732;1,708252821;3
3502606;21,74;0,67;23,44;508;86,86;0,472;96,99;1,694094869;829,3804453;1,936108422;2
3502705;16,67;0,647;25,02;445,21;81,06;0,556;69,96;1,864915268;533,5684748;1,216249088;2
3502754;12,01;0,597;154,02;591,97;100;0,47;53,42;0,953288847;643,6606292;1,620591039;3
3502804;11,02;0,744;168,8;847,76;98,07;0,54;98,65;4,210658952;480,1201245;3,239372286;3
